,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
7309,0.69783272928734,0.264556314943759,0.507655847029309,0.783592123399203,0.898931638219236,0.639409248911371
33878,0.608900860176003,0.426517274073749,0.0435070313353585,0.923006917306463,0.965198402327107,0.444259967586948
28777,0.475786705424166,0.424104380841398,0.354149191142947,0.894667596779425,0.791146049259959,0.990042505264781
31009,0.631602202331507,0.245460252494473,0.669643941143053,0.756149888138077,0.984223399082527,0.680717426715797
8162,0.440404705434873,0.465403050039135,0.342877774651047,0.962180522409636,0.861284039867501,0.773885400620245
9161,0.517575781466659,0.45078568457757,0.181905728359738,0.879724555181268,0.987389435903914,0.447122388131159
27946,0.579649428726532,0.253086678099613,0.787612370107986,0.966404691394297,0.963389424275844,0.39421091556374
18199,0.645545336964512,0.160378192243077,0.817601946717447,0.845134687971024,0.889292400405471,0.607106655106028
24335,0.85631220238101,0.0552091355158621,0.638942404794638,0.731194105395903,0.87053416534314,0.882574374164154
21767,0.792580680919917,0.0971453186492647,0.740142083230967,0.959244346359145,0.948560850367537,0.317888629840684
10728,0.43939086443713,0.466302567884039,0.286383942169349,0.970923113740389,0.85002310365047,0.729872801262253
16120,0.742598262823765,0.296007308017302,0.120039136657969,0.978454807566412,0.855272480752658,0.383064385314866
10018,0.847110117938975,0.163692358237356,0.305054282948705,0.682195988668693,0.953797618392914,0.98550934521132
27049,0.665748914973842,0.351334343734298,0.185755205829941,0.927095281896139,0.943616738187585,0.354616739131916
16416,0.627031286808737,0.258815820588922,0.680651529977021,0.864177674288372,0.782647025447258,0.784672256230088
17778,0.594246293670119,0.274800665015778,0.654214266050549,0.785648142984507,0.967070849143003,0.68155834213301
33990,0.51220694970476,0.435897107562798,0.253816766270515,0.936950940847881,0.982179194193191,0.37177318428502
25956,0.889392336181882,0.0792692122117247,0.401088795109814,0.731209476734094,0.862387800619192,0.995387794811839
4053,0.701350351665055,0.323202553301169,0.289720314281237,0.944371646041071,0.739116923908629,0.720748887456223
3294,0.750277022707926,0.0270127133706467,0.9529755806552,0.838737859927315,0.922229883009969,0.734862193626511
20388,0.712481071555766,0.19283989726236,0.600078350083364,0.83432440449494,0.823753774612792,0.619095504439124
8701,0.565689023890779,0.231654143573724,0.75124253570207,0.774918484181243,0.972742234088595,0.725547792858701
36099,0.706412990976215,0.273160779963112,0.375717757860534,0.747394609347949,0.894952582892764,0.728866058442177
463181,0.791795396411178,0.129053385237893,0.00103242148524116,0.901631634572931,0.879220393990187,0.318774824212209
672520,0.65967302797428,0.283936363142419,0.0314509078486987,0.914565595975058,0.934584844443294,0.0923936038750147
266779,0.80606312243311,0.0957595429341614,0.108109003986834,0.905187811642634,0.994931819997884,0.107110050667598
916582,0.67369577723512,0.27995484959615,0.0229236805864713,0.942624112774298,0.927610698860803,0.0468245011865449
288694,0.667942019145294,0.271397876560364,0.0170221163982102,0.985139325034384,0.599061044542987,0.62374581467384
938068,0.826039475664721,0.0681329748755896,0.00211803091191871,0.844541697487569,0.774525520778674,0.68218076958279
565542,0.843201949262361,0.0121602549502563,0.0146968856655254,0.875362019569209,0.974402007274755,0.298281279253043
96548,0.787929808395762,0.0798043282638042,0.364801226738108,0.95817206385313,0.863718221584517,0.0848300898024718
918342,0.62040433727518,0.271484359525352,0.221349316552387,0.879033212411427,0.946207769348896,0.0603058674892268
545322,0.759178963880506,0.128459613308586,0.201563581951175,0.952566966276207,0.710959294035412,0.289872135263333
572438,0.798029865791399,0.128929328467416,0.0167952648115719,0.964767977575827,0.933292445085022,0.102909592011705
731220,0.815801309730941,0.0446652922286725,0.137888176385782,0.943604376792669,0.704232429080005,0.374760284132162
117787,0.805270210536716,0.0968777694743027,0.163841082303461,0.81504413022915,0.959830135896937,0.257651985977677
319847,0.872530479449341,0.00337648224887995,0.105767426925735,0.833457693851966,0.850682412481951,0.526123068103959
853431,0.777767278099548,0.0899863540060002,0.0763914373847206,0.899020298041393,0.895182818216464,0.2030531149983
586377,0.771001693580313,0.183577081038935,0.018476124668252,0.79574138199015,0.985546982695856,0.293699601364593
368377,0.721039628480949,0.172243247064095,0.265405910928486,0.910680205372137,0.875125730199285,0.0794962192734734
770052,0.644899311909271,0.221878727281643,0.374344928938185,0.985946299348717,0.828403759830466,0.0435441814927994
371230,0.641706818078872,0.27458835648089,0.0542737555261836,0.984527436367319,0.656099179855385,0.395928986642485
141835,0.535890680112621,0.360584685023047,0.191143333652889,0.947033233125151,0.903142994623483,0.0545179220259014
146168,0.686988225859294,0.197942627065131,0.263387321742987,0.946081350486462,0.768218557351004,0.178160336396255
275189,0.68119349661514,0.20512537248405,0.213205312090038,0.98563461157294,0.834184346539155,0.0499972928484619
338052,0.820194020404907,0.110469527908339,0.0750434581296793,0.973904066621458,0.805454455935674,0.24825586631849
909816,0.81046080740155,0.0582253044445262,0.333510365798962,0.957431566072255,0.681894701561516,0.300904309624997
695130,0.795003479574832,0.0800288315456292,0.033626378999945,0.991254783857885,0.693767200706808,0.292078693272437
496568,0.750268238801986,0.161003181692234,0.21048335129442,0.970170665144619,0.587687479755645,0.474129302074236
657583,0.764636421520672,0.0961562981829818,0.212916530951697,0.906466428304462,0.7782123958356,0.283922387869017
578318,0.830629600526668,0.0498161748879493,0.150658002362722,0.987674123366373,0.974178435073798,0.0317562334903306
378193,0.632923138295015,0.267361864165609,0.23859173808342,0.836333560086388,0.941060488097814,0.11837772578267
912945,0.737178522287362,0.141039291708227,0.117069791124625,0.960010059955302,0.693092092595211,0.313734696892195
664533,0.747501244834832,0.12408927355853,0.318957983381518,0.982927060045411,0.683592587509262,0.199849982641717
479274,0.740606274682169,0.147591273340768,0.100787012813347,0.954067080400854,0.822650225478248,0.216935546613495
504580,0.661419036231894,0.236741889380784,0.0850127120001579,0.98987984624854,0.753422847467848,0.181031107025188
899808,0.633439937191908,0.287878258960264,0.0969489911832857,0.770961198764219,0.935624551753342,0.31359135466033
821138,0.736515633462288,0.118177124347554,0.328657006373019,0.991158379681453,0.881110982356602,0.0140348069337647
837618,0.852266721122154,0.0770994057724167,0.04661443910521,0.769726480654552,0.89068006890778,0.633337291788877
125643,0.706618671722287,0.176575152298236,0.115666397425984,0.944156416625642,0.726012225219535,0.274194310109952
571418,0.803526933203101,0.0138216516821194,0.314646696841322,0.945717028123422,0.624961505193758,0.390223697347626
275605,0.690604444024689,0.240534544218802,0.180172019983672,0.905562103006122,0.881991126472483,0.0883259841899629
670,0.668610761599071,0.224433182561649,0.0908146128346806,0.947531424753235,0.742152877693515,0.268874935135277
177714,0.767942600314325,0.0975076111291888,0.0828557846026805,0.996944442158653,0.559045371221644,0.44342572925792
100572,0.670899235986776,0.197648233195502,0.270327006578959,0.89051459919496,0.821545378995039,0.197849354108521
142951,0.757975237480328,0.117176632520325,0.130485320991205,0.951397849709911,0.763620567477729,0.165384106516134
909886,0.804986833801415,0.0785818569215641,0.195319560246763,0.941629844829607,0.620836666207518,0.457574342970947
727934,0.720195145452079,0.169105809320845,0.300511937937422,0.982146742245452,0.566149245504433,0.435035740088216
271036,0.806711755043075,0.0332567558110688,0.1455959076955,0.857189590332275,0.809735354588406,0.399990620479087
150813,0.819267870613388,0.118890493751804,0.0831701422233935,0.872725799331831,0.582964730138626,0.911934545562092
90955,0.79600586539623,0.0797068517984482,0.079553369069941,0.938201378858252,0.482132882432152,0.980210425299968
860445,0.676118387084883,0.235167957844148,0.287907655796265,0.857865379656461,0.927659674701947,0.0868943972765419
940566,0.641663767081968,0.214795760694144,0.327274896437748,0.994661005968794,0.79045576165128,0.0534368166996725
724036,0.801759314551907,0.0524711916985597,0.335836309200418,0.842122732898603,0.849468143374002,0.267350994807533
895849,0.675228960351604,0.209544407276762,0.125738192816751,0.908316356127601,0.994559454028301,0.0165469932746291
258131,0.6167039839959,0.243940781648063,0.250816986657607,0.931693631779595,0.8804527687723,0.0140726562019539
98091,0.746245360643533,0.0854112746244586,0.298733876020507,0.898503135212006,0.927756130364871,0.0268599391163824
780442,0.807930482416791,0.043281340667495,0.15156310570321,0.878821970008079,0.617751791160818,0.65352277039626
190084,0.653072965729585,0.210669299428901,0.318271243801122,0.886751368573758,0.806018976950614,0.212142330033321
553657,0.790611875601773,0.0409273862252119,0.212548638783456,0.970342563532704,0.505791322633847,0.578667528234506
322364,0.717974980145959,0.20712232883283,0.109521286446255,0.758010718854171,0.921632337201934,0.368393615627538
725285,0.717012806934178,0.101254635697363,0.43060318423403,0.986460230043212,0.796565393859256,0.0427739525887041
600543,0.506251702375071,0.377801415387075,0.0818444652625295,0.902789073475409,0.794934457946926,0.341223045550801
877228,0.506108745401562,0.380735016643789,0.0260963895669922,0.940003140501603,0.82448964105969,0.161860616378375
905588,0.713490499564108,0.15884589278773,0.180089729950972,0.950785267286883,0.766771800317085,0.110224095224257
585076,0.803813499018898,0.0720138213078355,0.127313733594193,0.809487051346841,0.694304924318868,0.753731373308416
811427,0.821903393861983,0.0295608038351311,0.429203726145954,0.993699297233956,0.455813191763606,0.577093391092768
94138,0.842287719615857,0.0500725986136576,0.11372870751147,0.96344549610539,0.756680586389246,0.284816491175163
649087,0.813024151987925,0.0720720977593982,0.178519421603475,0.909516739697642,0.570391855148994,0.651113981262009
158816,0.748545452034012,0.13632355984339,0.0296186939491315,0.812642273473733,0.89944146030388,0.40973844413158
931871,0.623734994392466,0.302936261002495,0.146411464857806,0.804513775069942,0.913877523359918,0.2457054914258
170931,0.759847016192573,0.136071044676286,0.297320484222983,0.814855003270554,0.940515784481867,0.162913809146242
775522,0.728773411332222,0.171175315302432,0.128725907875038,0.69294525943495,0.976060946335865,0.44378994908073
489387,0.79778027543905,0.0166913770184277,0.232947144086706,0.921563337959538,0.663377549221874,0.383351367716165
96868,0.578722197342338,0.349474652256205,0.00810236964823906,0.878423887708613,0.858641647836127,0.203732182122798
735993,0.754520260819414,0.0125862287987011,0.650677534047203,0.93681287954936,0.705188758501312,0.258382917426473
810190,0.632442875400153,0.256467055152827,0.259919899272716,0.971486192140989,0.714957949466275,0.181256349570165
425724,0.681496987117363,0.173962592014758,0.233541004926387,0.951563291190601,0.803036851689352,0.110043349927125
462779,0.732749525135039,0.148017463411236,0.346558062046517,0.841389731173645,0.83432862473745,0.24469705898159
776318,0.775926547281839,0.0701778825328036,0.12511966332004,0.869434672021586,0.758241765456854,0.407817287961124
830718,0.80247507874278,0.00843737022300797,0.312461536427172,0.993833025155759,0.736599310545717,0.0987071886019029
510420,0.820358351990108,0.0559685090392132,0.124719059655276,0.913870485342448,0.928367755010348,0.0985765582922104
472,0.797572906845283,0.0966678183570822,0.218472712734202,0.856234029128586,0.767284756401558,0.388077845330944
735582,0.624958558591458,0.262566620602266,0.137761198164354,0.981115927468302,0.681803445834475,0.228436878279241
812674,0.691596816405402,0.226760027346535,0.0497993331030841,0.86959969805101,0.874082667908073,0.142991086551356
794864,0.677838992748192,0.122006780061351,0.512733464160363,0.973083024361363,0.704787579077978,0.198051886525644
862768,0.783390652272206,0.0678801629234502,0.117994376309091,0.926195187749288,0.948117558157575,0.151439174956027
255885,0.803583573393525,0.0970858181137016,0.0778907002609146,0.991600981864288,0.644243821892659,0.34155756640261
732067,0.828722868759517,0.0489399147515489,0.367784558822647,0.949205223494209,0.693823726726162,0.293782355687016
388267,0.762950347633064,0.144149544356877,0.0123178056657672,0.921121784748019,0.493216771638686,0.904833857018923
704596,0.729734982644216,0.142234526886164,0.050561890999987,0.971850405412051,0.513022174950461,0.709631998371178
239027,0.801602204097428,0.0115960826228274,0.271196218141288,0.892160690674657,0.791846686534276,0.218986928591407
551828,0.810752054924826,0.024371663785078,0.182699507812051,0.874137081497261,0.860251214504817,0.191688657341888
272148,0.777287171819265,0.138908698116147,0.0228009191714609,0.662348307678339,0.939460164615639,0.760837458863147
348572,0.693707176305395,0.142307094509906,0.323243130042712,0.837787049135095,0.946319403992133,0.0442260470166679
145641,0.708818381742258,0.184361431937668,0.296853737066842,0.971034814625325,0.555627471144626,0.470284519353713
459710,0.591853231059792,0.310157039809313,0.298223438520885,0.944563487898558,0.759222700196529,0.223050971447957
234730,0.778842387918807,0.0809806730222294,0.164786576336874,0.750044145859824,0.906535446107808,0.432872816310141
521279,0.821650403037118,0.0912578047763139,0.00471928781114955,0.77350626728351,0.710612789726985,0.950643409684398
846173,0.855472953191242,0.0849606763111598,0.0431914284476781,0.782817270043647,0.806853435391709,0.751947154237607
818595,0.811261561270555,0.0436799256409929,0.052877200034992,0.836341159200914,0.656999923205477,0.737608931558321
390975,0.75827698611331,0.144949571207879,0.192678158658883,0.893304832862431,0.756932948704387,0.283457501044941
402136,0.777063864431931,0.162112662982189,0.0247144422508513,0.958322078097607,0.564181435030927,0.645164971707767
